epoch,step,train/cardinality_error,train/cardinality_error_0,train/cardinality_error_1,train/cardinality_error_enc,train/class_error,train/loss,train/loss_bbox,train/loss_bbox_0,train/loss_bbox_1,train/loss_bbox_enc,train/loss_ce,train/loss_ce_0,train/loss_ce_1,train/loss_ce_enc,train/loss_giou,train/loss_giou_0,train/loss_giou_1,train/loss_giou_enc,train/lr,train/lr_max,train/lr_min,val/AP/dasi,val/AP/sabuk,val/AP/sepatu,val/AP/topiPet,val/AP/wajah,val/F1,val/ema_mAP_50,val/ema_mAP_50_95,val/ema_mAR,val/loss,val/mAP_50,val/mAP_50_95,val/mAP_75,val/mAR,val/precision,val/recall
0,18,,,,,,,,,,,,,,,,,,,,,,0.5286099314689636,0.3109244108200073,0.4793424904346466,0.5322265625,0.29315343499183655,0.7095040678977966,0.8162517547607422,0.4285394847393036,0.5710770487785339,6.246721267700195,0.8170811533927917,0.4288513660430908,0.408701628446579,0.5750559568405151,0.7519651651382446,0.7453779578208923
0,18,3861.444091796875,3858.220458984375,3858.980224609375,3857.059326171875,42.46561050415039,8.874563217163086,0.07107485830783844,0.08359955996274948,0.07366073876619339,0.088909812271595,1.0169854164123535,1.0139721632003784,1.0178906917572021,0.9672826528549194,0.3934083580970764,0.41231071949005127,0.3972150683403015,0.43316906690597534,,,,,,,,,,,,,,,,,,,
1,37,,,,,,,,,,,,,,,,,,,,,,0.5730222463607788,0.4375264644622803,0.5814447402954102,0.5973505973815918,0.5385901927947998,0.8950924873352051,0.9188776612281799,0.5464348793029785,0.6293802261352539,4.828985691070557,0.920285701751709,0.5455868244171143,0.5788682699203491,0.6277182102203369,0.9191412329673767,0.8761104345321655
1,37,3881.4013671875,3879.019775390625,3877.141357421875,3871.384765625,7.0716657638549805,6.496164798736572,0.045426201075315475,0.0454912893474102,0.044734153896570206,0.0534374974668026,0.7388482689857483,0.8041221499443054,0.7554218769073486,0.7640932202339172,0.3049356937408447,0.3039124011993408,0.3032625913619995,0.33200541138648987,,,,,,,,,,,,,,,,,,,
2,49,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,
2,56,,,,,,,,,,,,,,,,,,,,,,0.6556150913238525,0.4635165333747864,0.6170654296875,0.6543396711349487,0.6137669086456299,0.9307785034179688,0.9376107454299927,0.5995250344276428,0.6743063926696777,4.480956077575684,0.9333837628364563,0.6008607149124146,0.6866711378097534,0.6789616346359253,0.9407822489738464,0.922370970249176
2,56,3881.46044921875,3878.47705078125,3875.96044921875,3877.608642578125,2.6786868572235107,5.709875106811523,0.03946762531995773,0.03986063599586487,0.03949342668056488,0.04455266520380974,0.6281277537345886,0.673738420009613,0.6351736187934875,0.6578724980354309,0.2819458544254303,0.2828255295753479,0.2826240658760071,0.3016497790813446,,,,,,,,,,,,,,,,,,,
3,75,,,,,,,,,,,,,,,,,,,,,,0.6651076674461365,0.45432600378990173,0.6314671635627747,0.6499025821685791,0.6267750263214111,0.9238723516464233,0.9402768015861511,0.609416663646698,0.6937959790229797,4.379515171051025,0.9408040046691895,0.6055156588554382,0.7005098462104797,0.6893033385276794,0.9658920168876648,0.8884515166282654
3,75,3881.654541015625,3879.28955078125,3875.71044921875,3881.01318359375,2.0457706451416016,5.424628734588623,0.03707655519247055,0.03785082325339317,0.03762200102210045,0.04272640123963356,0.609326183795929,0.6512758731842041,0.614671528339386,0.6312443614006042,0.2611524760723114,0.26423126459121704,0.2638170123100281,0.2816646099090576,,,,,,,,,,,,,,,,,,,
4,94,,,,,,,,,,,,,,,,,,,,,,0.6747079491615295,0.5385235548019409,0.6589205861091614,0.6770393252372742,0.6347563862800598,0.9314084053039551,0.9408909678459167,0.6413258910179138,0.7189651131629944,4.233169078826904,0.9437628388404846,0.6367895603179932,0.7664950489997864,0.7078495621681213,0.9630757570266724,0.9039636850357056
4,94,3882.516357421875,3881.0888671875,3878.815673828125,3882.546142578125,1.6609735488891602,5.282986640930176,0.036354370415210724,0.03653242439031601,0.036630116403102875,0.04083022475242615,0.5844147205352783,0.6296249032020569,0.5915370583534241,0.6170894503593445,0.2580007314682007,0.2594759166240692,0.2602182626724243,0.27659785747528076,,,,,,,,,,,,,,,,,,,
5,99,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,
5,113,,,,,,,,,,,,,,,,,,,,,,0.6863967180252075,0.5136345624923706,0.6696028709411621,0.6823465824127197,0.6503719687461853,0.927025556564331,0.9372755289077759,0.6266520619392395,0.7080174684524536,4.140103816986084,0.9382524490356445,0.640470564365387,0.7327956557273865,0.7112144231796265,0.9430213570594788,0.9137197732925415
5,113,3883.5625,3882.641357421875,3881.131591796875,3883.483642578125,1.6384303569793701,5.192830562591553,0.03475812077522278,0.03550385683774948,0.03515016660094261,0.039730966091156006,0.5795912146568298,0.6246536374092102,0.5875973105430603,0.6116164922714233,0.2516677975654602,0.2550901770591736,0.25368061661720276,0.27138999104499817,,,,,,,,,,,,,,,,,,,
6,132,,,,,,,,,,,,,,,,,,,,,,0.6478110551834106,0.5486807227134705,0.6547030806541443,0.6806483864784241,0.6208162903785706,0.9250434041023254,0.9396182894706726,0.6276136636734009,0.7111166715621948,4.200765609741211,0.9371691346168518,0.630531907081604,0.7321688532829285,0.710357129573822,0.9407988786697388,0.9136063456535339
6,132,3882.04931640625,3881.47705078125,3880.17431640625,3882.779541015625,1.5454744100570679,5.042382717132568,0.0320037342607975,0.032731350511312485,0.03250482678413391,0.03582781180739403,0.567408561706543,0.6060720086097717,0.5728622078895569,0.5957463383674622,0.2472381591796875,0.2520657181739807,0.2501884996891022,0.2679852545261383,,,,,,,,,,,,,,,,,,,
7,149,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,
7,151,,,,,,,,,,,,,,,,,,,,,,0.5951782464981079,0.5278767943382263,0.6039226651191711,0.6423323750495911,0.6515902280807495,0.919511079788208,0.9368149042129517,0.6236763596534729,0.7039626240730286,4.236202239990234,0.9345817565917969,0.604180097579956,0.7004991173744202,0.6835086941719055,0.9703544974327087,0.8750039935112
7,151,3883.404541015625,3882.7138671875,3881.845458984375,3883.569091796875,1.6557024717330933,5.015625476837158,0.03252099081873894,0.033590950071811676,0.032734520733356476,0.03725851699709892,0.5643168687820435,0.6139623522758484,0.5705827474594116,0.6030459403991699,0.24125997722148895,0.24575361609458923,0.24296559393405914,0.2616165280342102,,,,,,,,,,,,,,,,,,,
8,170,,,,,,,,,,,,,,,,,,,,,,0.6447699069976807,0.5197353363037109,0.6551351547241211,0.6891471743583679,0.6829311847686768,0.9345840215682983,0.9456009268760681,0.6424210667610168,0.7154529094696045,4.04630708694458,0.9456627368927002,0.6383437514305115,0.7550374269485474,0.7207574844360352,0.966402530670166,0.9065161943435669
8,170,3882.003173828125,3881.45068359375,3881.480224609375,3882.447265625,1.4113144874572754,4.836406707763672,0.02964872121810913,0.030609117820858955,0.03014332428574562,0.03460298478603363,0.5465137362480164,0.600181519985199,0.5527146458625793,0.5839482545852661,0.2341766357421875,0.23747527599334717,0.2367015928030014,0.25566110014915466,,,,,,,,,,,,,,,,,,,
9,189,,,,,,,,,,,,,,,,,,,,,,0.6915664672851562,0.5585419535636902,0.6570512652397156,0.6406678557395935,0.6781240105628967,0.9336795806884766,0.9411688446998596,0.6582833528518677,0.7351509928703308,4.026264667510986,0.9412821531295776,0.6451902985572815,0.7494873404502869,0.7205427289009094,0.9599202275276184,0.9112807512283325
9,189,3881.779541015625,3881.47705078125,3881.6611328125,3882.809326171875,1.65911865234375,4.88521146774292,0.03087473474442959,0.0318102091550827,0.031248146668076515,0.03543669730424881,0.5566211938858032,0.5948466658592224,0.559638500213623,0.5859239101409912,0.23576189577579498,0.2404688596725464,0.23860681056976318,0.25582802295684814,,,,,,,,,,,,,,,,,,,
10,199,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,
